State,District,Water_Source,pH,Dissolved_Oxygen,BOD,COD,TDS,Conductivity,Turbidity,Nitrate,Phosphate,Temperature,Hardness,Chloride,Sulfate,WQI,Quality
Karnataka,Mysuru,Groundwater,7.4,9.38,3.55,24.34,631,387,8.71,13.61,2.39,18.6,264,126,116,41,Poor
Kerala,Thiruvananthapuram,Reservoir,7.81,6.31,1.96,37.78,658,219,0.67,37.72,2.4,30.3,170,75,176,28,Unsafe
Tamil Nadu,Madurai,Reservoir,8.44,7.47,4.57,20.89,633,404,9.31,6.23,1.48,24.8,267,158,91,23,Unsafe
West Bengal,Kolkata,River,7.2,7.69,7.08,36.57,667,545,3.4,12.24,0.5,21.0,256,79,113,37,Unsafe
Tamil Nadu,Madurai,Lake,7.25,5.21,4.5,14.94,223,515,3.2,22.09,1.05,30.2,120,152,110,42,Poor
Karnataka,Bengaluru,River,8.18,4.97,6.38,25.44,409,783,4.73,14.57,0.11,18.7,253,88,62,23,Unsafe
West Bengal,Siliguri,River,7.25,4.72,5.78,35.63,154,357,9.35,10.89,1.48,30.3,119,73,53,33,Unsafe
Karnataka,Bengaluru,Reservoir,7.92,7.86,5.65,21.77,657,676,1.08,20.23,1.28,28.7,238,101,210,36,Unsafe
Uttar Pradesh,Kanpur,Lake,7.42,7.65,2.39,40.41,83,190,7.59,3.49,1.54,33.7,306,111,156,63,Moderate
Maharashtra,Pune,Reservoir,8.56,5.88,1.72,13.55,507,299,5.85,29.35,1.22,27.5,85,57,203,20,Unsafe
Delhi,New Delhi,Reservoir,6.68,5.94,1.93,24.52,336,338,9.34,18.41,2.19,20.7,95,53,23,32,Unsafe
West Bengal,Siliguri,River,7.73,7.69,7.8,11.3,186,599,2.04,30.0,0.16,25.9,129,74,199,44,Poor
Kerala,Kozhikode,Lake,7.74,8.26,2.26,12.91,186,686,6.49,12.99,1.64,26.9,83,39,203,58,Poor
Uttar Pradesh,Varanasi,Groundwater,7.36,7.32,3.03,19.33,521,764,3.43,30.55,1.95,31.2,209,134,60,38,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.0,7.61,6.6,39.61,585,284,6.18,29.18,0.34,24.8,189,28,170,25,Unsafe
Maharashtra,Pune,Groundwater,6.69,7.1,1.34,13.81,93,764,3.2,12.7,0.4,18.3,99,48,52,64,Moderate
Gujarat,Ahmedabad,Reservoir,8.46,4.89,7.23,42.55,431,290,3.19,34.24,0.47,26.0,183,34,20,11,Unsafe
Telangana,Warangal,Groundwater,7.95,5.69,6.24,14.05,525,485,7.49,1.86,2.39,22.9,175,75,212,25,Unsafe
Maharashtra,Pune,River,7.17,8.45,3.87,11.74,538,828,3.59,6.11,0.55,31.4,65,60,212,55,Poor
West Bengal,Kolkata,Groundwater,7.8,6.07,7.47,28.63,170,337,2.18,39.82,0.41,28.5,110,150,86,32,Unsafe
West Bengal,Siliguri,River,6.82,7.38,7.62,43.52,103,472,9.06,15.11,2.2,34.6,324,107,92,41,Poor
Maharashtra,Nagpur,River,8.09,5.9,5.2,14.78,329,489,8.47,14.96,2.36,22.6,98,152,86,26,Unsafe
Tamil Nadu,Coimbatore,Reservoir,6.83,7.33,5.42,27.59,469,783,3.3,26.84,0.82,19.5,335,36,26,36,Unsafe
Andhra Pradesh,Vijayawada,River,8.21,6.45,7.59,21.58,303,584,3.8,38.24,2.38,18.3,169,67,97,22,Unsafe
Andhra Pradesh,Guntur,River,7.34,6.32,6.32,14.17,555,726,5.73,12.98,2.43,33.3,138,139,65,30,Unsafe
Karnataka,Mangaluru,Groundwater,8.25,4.93,5.75,15.66,283,830,0.68,4.27,0.62,26.7,135,169,76,42,Poor
Maharashtra,Nagpur,Groundwater,7.68,6.19,4.25,20.89,638,320,2.82,9.32,1.26,28.3,196,78,72,35,Unsafe
Andhra Pradesh,Vijayawada,River,7.44,8.8,5.17,32.96,189,312,9.94,27.73,1.46,21.1,245,87,105,42,Poor
Delhi,New Delhi,River,6.36,5.18,2.56,16.35,165,192,6.01,38.08,1.77,19.0,327,141,37,28,Unsafe
Uttar Pradesh,Lucknow,Lake,6.41,4.79,5.69,44.09,313,266,3.03,36.8,2.5,32.7,135,25,165,21,Unsafe
Telangana,Hyderabad,Lake,8.33,8.19,7.15,14.52,118,576,1.3,7.44,2.42,33.4,174,169,206,59,Poor
Gujarat,Ahmedabad,River,8.48,5.54,1.88,35.21,432,353,3.98,30.87,0.73,20.3,161,133,211,25,Unsafe
Maharashtra,Nagpur,River,8.32,6.21,3.58,20.52,444,814,0.52,18.01,1.34,33.6,186,174,175,39,Unsafe
Karnataka,Mysuru,Groundwater,7.27,7.99,5.12,41.14,538,505,9.6,13.02,0.46,18.0,129,142,72,34,Unsafe
West Bengal,Siliguri,Groundwater,6.45,6.63,4.05,22.34,679,736,4.68,16.59,1.98,28.8,148,144,164,26,Unsafe
West Bengal,Kolkata,Reservoir,6.91,5.86,4.01,20.09,566,644,9.55,26.95,1.85,21.4,332,59,188,16,Unsafe
Maharashtra,Pune,Reservoir,7.57,5.42,7.02,40.84,670,314,6.64,8.27,2.21,19.2,137,43,127,18,Unsafe
Kerala,Kochi,Reservoir,7.76,5.76,5.66,16.31,244,753,4.92,33.31,2.17,32.9,293,151,110,29,Unsafe
West Bengal,Siliguri,River,8.08,5.52,7.42,11.89,459,198,8.86,28.54,2.08,29.2,205,63,25,7,Unsafe
Maharashtra,Pune,River,6.74,4.54,7.89,33.7,321,257,6.28,19.13,2.22,27.2,153,134,165,20,Unsafe
Tamil Nadu,Coimbatore,Lake,7.82,7.62,6.07,40.68,644,828,5.55,7.88,1.5,26.7,279,122,114,32,Unsafe
Karnataka,Bengaluru,Groundwater,7.34,6.61,2.17,20.63,281,660,5.5,15.93,1.74,31.1,173,27,52,49,Poor
West Bengal,Kolkata,Lake,7.99,6.71,1.2,15.16,537,648,7.91,24.48,0.67,18.5,179,41,173,27,Unsafe
Karnataka,Bengaluru,River,7.29,7.36,5.05,31.35,544,267,1.54,11.51,0.6,18.7,193,146,51,47,Poor
Delhi,New Delhi,Groundwater,8.56,8.85,4.11,19.75,442,546,5.83,4.8,0.38,23.0,272,52,148,45,Poor
Gujarat,Surat,Lake,7.66,5.8,3.12,28.11,528,858,7.97,30.87,1.58,28.8,253,21,163,19,Unsafe
Karnataka,Bengaluru,River,8.3,6.9,4.14,35.78,225,675,7.67,5.74,1.31,20.6,255,131,28,42,Poor
Uttar Pradesh,Kanpur,Reservoir,7.93,8.44,3.87,36.18,293,509,8.28,8.11,0.21,28.4,218,105,209,48,Poor
Karnataka,Bengaluru,River,8.08,5.33,5.34,28.98,304,239,6.02,9.1,1.58,30.0,87,76,115,32,Unsafe
Maharashtra,Mumbai,Groundwater,6.94,8.72,5.88,36.15,124,240,2.79,23.48,2.13,30.0,328,87,20,59,Poor
Delhi,New Delhi,River,7.77,7.19,4.92,12.96,496,246,1.7,22.03,2.18,31.2,277,117,64,39,Unsafe
Kerala,Kochi,Reservoir,6.31,8.4,3.02,19.84,464,256,3.61,34.93,1.87,32.0,304,146,109,38,Unsafe
Tamil Nadu,Coimbatore,Lake,7.48,8.8,3.9,38.83,616,552,5.05,33.06,1.49,31.1,65,129,87,35,Unsafe
West Bengal,Kolkata,Groundwater,8.5,6.23,5.82,41.29,135,249,8.63,6.64,1.37,20.5,184,30,153,35,Unsafe
Gujarat,Surat,Lake,7.68,7.37,5.53,18.57,109,387,5.77,38.17,0.79,25.0,93,161,170,39,Unsafe
Maharashtra,Mumbai,Reservoir,7.25,5.83,3.67,36.99,514,191,7.54,11.02,1.48,34.6,134,95,36,32,Unsafe
Delhi,New Delhi,Groundwater,7.87,7.1,7.15,20.77,164,636,4.17,38.99,0.22,22.4,324,168,154,33,Unsafe
Maharashtra,Nagpur,Reservoir,6.56,9.24,2.09,19.98,99,769,2.89,9.29,0.16,25.8,76,40,33,75,Good
West Bengal,Siliguri,Lake,8.59,6.19,1.76,24.24,520,655,5.43,36.57,1.33,25.7,261,132,37,18,Unsafe
Delhi,New Delhi,Lake,6.34,9.32,3.86,27.36,160,805,5.26,22.21,1.44,21.6,62,91,101,56,Poor
Kerala,Kochi,Groundwater,7.64,9.36,7.35,27.36,483,530,3.37,35.91,1.31,26.5,212,93,68,37,Unsafe
West Bengal,Kolkata,Groundwater,6.78,7.69,2.05,36.89,423,278,2.85,28.68,0.34,18.3,314,46,125,46,Poor
Telangana,Nizamabad,Groundwater,8.17,4.61,1.57,12.57,275,637,0.88,15.12,0.67,32.5,106,146,177,44,Poor
West Bengal,Siliguri,Groundwater,8.0,6.48,2.15,25.61,193,548,7.88,39.01,1.33,21.5,342,126,32,31,Unsafe
Maharashtra,Nagpur,Groundwater,7.46,5.01,4.37,21.12,616,726,2.29,16.38,1.8,26.8,270,97,134,29,Unsafe
Karnataka,Mangaluru,Lake,8.06,7.08,2.76,39.3,700,400,6.91,31.0,2.14,25.5,253,56,72,18,Unsafe
West Bengal,Siliguri,Reservoir,7.04,6.52,4.33,40.77,98,375,3.3,33.64,0.24,24.0,245,139,141,47,Poor
Uttar Pradesh,Varanasi,River,8.07,5.15,2.86,44.12,678,740,7.22,14.82,1.05,20.7,123,158,205,16,Unsafe
West Bengal,Siliguri,Groundwater,7.2,4.66,4.38,17.95,352,658,0.9,17.68,0.61,25.1,73,55,156,42,Poor
Maharashtra,Nagpur,Lake,7.42,6.54,5.14,29.99,279,678,6.36,29.32,0.12,27.3,290,178,177,34,Unsafe
West Bengal,Kolkata,Reservoir,7.77,8.81,6.1,18.9,112,508,8.85,7.65,2.2,32.9,278,111,79,53,Poor
Kerala,Thiruvananthapuram,Reservoir,6.36,8.92,4.33,13.28,417,394,2.22,13.84,0.95,25.8,88,37,101,53,Poor
Maharashtra,Mumbai,Groundwater,6.79,4.66,1.65,19.39,511,284,2.93,10.04,1.25,23.4,334,66,54,37,Unsafe
Karnataka,Mysuru,Reservoir,8.28,9.14,6.48,32.85,361,205,3.86,31.82,0.83,28.0,175,167,192,38,Unsafe
Telangana,Hyderabad,River,6.6,5.51,7.33,24.85,377,698,9.54,22.83,1.48,28.8,195,84,28,15,Unsafe
Maharashtra,Nagpur,Lake,8.49,6.84,2.0,13.96,621,422,5.34,8.99,2.36,18.5,277,113,58,32,Unsafe
West Bengal,Siliguri,Reservoir,6.85,5.02,7.95,22.62,426,694,1.58,8.83,1.0,30.3,271,146,46,34,Unsafe
Uttar Pradesh,Varanasi,Reservoir,8.23,5.82,3.98,40.33,593,648,3.77,21.42,0.13,30.5,116,141,73,23,Unsafe
Andhra Pradesh,Guntur,River,7.51,9.0,6.53,18.22,89,485,1.76,18.03,1.72,20.9,103,136,103,65,Moderate
Telangana,Hyderabad,Groundwater,8.01,7.9,1.59,37.73,169,696,0.92,10.29,1.08,33.6,214,131,24,68,Moderate
West Bengal,Siliguri,Reservoir,6.42,5.17,3.54,20.45,388,558,9.25,9.44,2.25,21.6,105,112,77,26,Unsafe
Telangana,Nizamabad,Groundwater,6.36,4.75,7.96,28.95,679,706,4.85,9.57,1.05,24.6,148,63,54,11,Unsafe
Tamil Nadu,Coimbatore,Lake,6.53,5.23,6.71,11.81,244,666,1.68,10.46,0.9,25.0,298,85,36,41,Poor
Karnataka,Mysuru,Reservoir,6.3,4.77,6.66,43.19,624,462,6.59,30.88,0.94,22.4,348,153,180,2,Unsafe
Tamil Nadu,Madurai,River,7.36,9.12,6.81,11.5,493,873,8.36,22.59,0.63,22.5,62,90,88,35,Unsafe
Maharashtra,Nagpur,River,7.19,5.14,5.62,10.04,308,252,9.16,18.38,0.19,28.6,104,95,175,27,Unsafe
Delhi,New Delhi,River,8.13,8.88,6.53,14.16,562,432,4.7,9.11,0.56,28.2,326,57,155,39,Unsafe
Delhi,New Delhi,Lake,8.34,5.76,3.55,20.38,168,593,6.07,5.86,1.35,29.7,86,178,106,43,Poor
Gujarat,Ahmedabad,Reservoir,8.28,6.22,5.58,24.65,276,264,1.21,26.72,1.37,26.7,247,111,126,36,Unsafe
Gujarat,Ahmedabad,River,6.73,6.28,5.92,26.61,596,574,5.18,18.14,0.83,28.5,246,123,149,25,Unsafe
Delhi,New Delhi,Groundwater,7.06,4.81,5.54,40.63,286,299,3.32,20.23,0.85,23.7,99,59,23,36,Unsafe
Andhra Pradesh,Visakhapatnam,River,7.96,9.26,6.05,30.18,491,753,2.71,39.54,0.55,27.5,335,103,180,35,Unsafe
Tamil Nadu,Chennai,Reservoir,7.58,9.32,4.05,21.47,209,455,4.2,4.5,1.63,23.9,205,139,215,68,Moderate
Andhra Pradesh,Vijayawada,Reservoir,7.28,6.39,7.98,34.7,347,270,8.94,25.21,1.98,29.8,341,37,58,23,Unsafe
Maharashtra,Nagpur,Groundwater,8.05,8.24,1.92,29.38,507,611,8.06,13.51,2.08,21.1,228,60,92,39,Unsafe
Tamil Nadu,Coimbatore,Lake,7.58,8.58,3.82,40.83,473,624,2.66,3.76,0.18,20.6,194,121,140,58,Poor
Telangana,Warangal,Groundwater,7.48,6.48,2.24,42.2,303,885,2.38,10.5,2.09,27.8,203,74,34,56,Poor
Tamil Nadu,Chennai,Lake,7.8,8.6,3.77,23.65,249,186,7.52,5.6,2.23,18.8,304,166,107,55,Poor
Uttar Pradesh,Kanpur,Lake,7.8,7.1,4.64,23.47,92,187,4.27,26.4,0.46,19.3,309,77,159,48,Poor
Uttar Pradesh,Lucknow,Lake,8.41,9.3,1.26,34.09,150,780,6.6,14.39,0.72,30.1,128,135,145,60,Moderate
Andhra Pradesh,Visakhapatnam,River,7.95,8.37,7.32,19.41,305,748,5.19,26.46,0.34,22.4,244,66,105,37,Unsafe
Telangana,Hyderabad,Groundwater,7.96,6.14,7.61,43.99,319,867,2.12,27.75,0.89,25.7,70,180,84,31,Unsafe
Maharashtra,Nagpur,Groundwater,6.54,8.72,6.31,18.51,309,708,9.91,38.89,1.18,27.2,202,125,144,26,Unsafe
Karnataka,Mysuru,Reservoir,7.97,6.91,2.28,29.03,493,517,4.16,22.72,0.11,31.0,92,56,148,36,Unsafe
Telangana,Nizamabad,Lake,7.36,4.98,7.05,42.4,136,232,4.34,10.1,0.41,20.4,78,49,72,42,Poor
Tamil Nadu,Chennai,Reservoir,6.46,6.29,7.12,43.19,364,682,8.14,8.13,2.14,27.6,278,131,160,28,Unsafe
West Bengal,Siliguri,Reservoir,7.51,6.15,7.73,15.64,442,523,8.73,8.6,2.39,18.4,60,156,87,25,Unsafe
Karnataka,Mangaluru,Lake,8.15,7.61,7.7,22.34,275,231,1.65,34.88,0.46,20.1,302,57,145,35,Unsafe
Delhi,New Delhi,Reservoir,6.83,6.33,2.65,42.25,479,493,10.0,37.93,1.63,18.8,177,107,134,17,Unsafe
Gujarat,Vadodara,Reservoir,8.18,8.26,5.48,15.87,507,474,4.15,6.02,2.2,23.7,232,147,151,43,Poor
Telangana,Hyderabad,River,7.04,5.87,3.14,10.07,568,183,9.4,15.97,1.86,20.4,141,114,119,24,Unsafe
Uttar Pradesh,Kanpur,Groundwater,7.46,8.75,1.39,35.18,502,805,6.7,12.7,0.21,27.5,112,127,195,51,Poor
Delhi,New Delhi,Groundwater,6.64,8.74,3.02,42.42,83,245,8.11,39.86,0.8,27.0,102,154,157,46,Poor
Tamil Nadu,Madurai,River,8.05,6.01,7.37,14.93,108,525,2.35,9.46,1.93,18.6,162,166,81,47,Poor
Tamil Nadu,Chennai,Reservoir,6.54,4.63,3.4,39.52,419,255,5.68,34.82,2.25,35.0,288,170,72,18,Unsafe
Andhra Pradesh,Guntur,River,7.26,5.89,4.46,40.19,254,598,4.16,32.6,0.46,31.4,104,130,196,37,Unsafe
Delhi,New Delhi,Reservoir,6.97,5.5,6.27,21.79,403,486,2.35,35.77,1.14,19.3,186,20,37,26,Unsafe
Maharashtra,Nagpur,Groundwater,6.34,5.65,5.31,35.17,249,596,5.44,37.44,2.22,25.9,104,81,36,23,Unsafe
Kerala,Kozhikode,River,8.11,6.38,2.68,24.5,571,765,1.9,4.08,1.12,22.8,198,73,47,43,Poor
Tamil Nadu,Chennai,Reservoir,6.53,9.47,5.13,18.49,332,887,0.51,26.51,2.12,25.0,97,62,115,56,Poor
Maharashtra,Pune,River,6.32,7.45,1.56,36.55,337,390,9.15,14.3,0.13,19.2,176,168,126,40,Poor
Kerala,Thiruvananthapuram,River,6.76,7.56,4.5,28.68,544,864,4.47,30.39,0.58,23.4,66,76,183,31,Unsafe
Karnataka,Mangaluru,River,8.38,5.22,1.17,34.73,112,773,4.77,27.56,1.81,19.1,84,116,178,39,Unsafe
Andhra Pradesh,Vijayawada,River,6.96,8.0,3.92,15.61,683,487,2.88,25.47,0.17,18.6,112,101,116,36,Unsafe
Uttar Pradesh,Lucknow,Lake,7.59,6.9,6.28,16.2,221,808,8.07,39.18,0.66,19.6,137,70,182,26,Unsafe
Andhra Pradesh,Vijayawada,Groundwater,7.37,4.6,5.59,40.89,104,737,7.31,30.95,0.77,23.2,121,150,191,28,Unsafe
West Bengal,Siliguri,River,6.66,9.5,4.31,13.97,524,329,6.61,33.44,0.91,28.7,63,63,189,36,Unsafe
West Bengal,Kolkata,Reservoir,6.79,8.58,7.14,18.43,366,553,2.4,39.18,0.92,21.5,246,161,171,38,Unsafe
Delhi,New Delhi,Groundwater,7.37,8.79,3.46,32.86,639,868,5.12,39.53,1.17,26.0,221,99,167,32,Unsafe
Delhi,New Delhi,Reservoir,7.96,7.63,6.05,29.22,359,562,6.36,24.96,2.09,31.1,178,46,183,32,Unsafe
Gujarat,Surat,River,8.18,4.55,5.31,18.9,460,192,5.9,31.23,0.74,25.7,284,163,56,10,Unsafe
Kerala,Kozhikode,River,6.82,8.35,1.15,37.77,339,582,0.84,34.01,0.23,25.6,240,115,114,56,Poor
Delhi,New Delhi,Reservoir,6.44,8.56,7.95,19.67,670,516,9.36,4.03,2.38,27.8,302,107,118,25,Unsafe
Karnataka,Mysuru,Reservoir,7.68,9.27,2.67,17.8,404,222,8.12,25.67,2.14,22.8,166,137,127,44,Poor
Maharashtra,Nagpur,Lake,7.44,9.4,4.17,21.57,331,897,4.85,17.7,0.16,18.4,312,133,137,57,Poor
Gujarat,Vadodara,Lake,7.14,5.14,2.7,42.61,573,877,6.03,8.84,2.5,32.8,147,77,78,32,Unsafe
Gujarat,Vadodara,Groundwater,7.71,7.08,7.15,35.38,607,561,7.27,30.38,1.3,23.9,322,41,138,15,Unsafe
Maharashtra,Mumbai,Groundwater,7.26,5.21,7.94,37.91,124,445,9.96,1.8,1.28,23.0,202,99,202,36,Unsafe
Kerala,Kozhikode,Groundwater,6.53,5.03,4.69,25.59,240,866,7.97,32.73,0.39,30.4,245,140,93,21,Unsafe
Andhra Pradesh,Visakhapatnam,River,7.34,6.25,2.41,11.16,481,880,6.39,21.59,0.73,32.1,153,104,83,34,Unsafe
Delhi,New Delhi,River,6.46,6.6,1.43,39.28,87,740,9.24,27.19,2.34,23.1,223,27,29,41,Poor
Andhra Pradesh,Visakhapatnam,Reservoir,7.44,5.95,3.26,16.77,308,660,4.18,36.64,0.27,26.2,195,150,89,34,Unsafe
Kerala,Thiruvananthapuram,Lake,7.45,7.02,3.41,37.09,401,860,1.73,25.23,1.4,22.5,214,91,93,46,Poor
Uttar Pradesh,Kanpur,Lake,7.75,9.41,5.31,12.46,102,465,4.03,27.94,1.52,34.2,136,75,98,58,Poor
Andhra Pradesh,Vijayawada,Lake,8.17,6.5,4.39,33.65,159,349,9.29,24.73,0.75,26.7,111,29,30,31,Unsafe
Delhi,New Delhi,Reservoir,8.49,5.47,2.51,40.43,505,500,3.56,23.05,2.07,31.1,154,144,74,25,Unsafe
Kerala,Thiruvananthapuram,Lake,8.27,7.1,4.35,26.16,590,375,5.62,33.96,1.1,34.2,209,166,138,18,Unsafe
Uttar Pradesh,Kanpur,Groundwater,8.34,6.99,2.21,27.43,428,404,5.85,3.78,1.11,32.2,165,79,118,43,Poor
Karnataka,Mangaluru,Lake,7.77,8.37,3.94,32.77,126,787,1.68,1.04,1.89,21.4,100,94,198,72,Moderate
Kerala,Kozhikode,Reservoir,7.82,8.11,7.42,41.3,621,860,9.89,27.88,0.32,31.7,276,166,158,14,Unsafe
Telangana,Warangal,Groundwater,8.18,5.53,5.91,37.86,213,540,7.79,27.63,2.29,26.6,267,94,47,22,Unsafe
Andhra Pradesh,Vijayawada,Lake,7.28,6.16,3.9,19.01,519,608,5.55,6.72,2.44,21.9,326,178,155,39,Unsafe
Tamil Nadu,Coimbatore,Reservoir,6.96,7.57,2.05,44.73,285,245,9.2,16.9,1.38,21.6,113,124,154,46,Poor
Andhra Pradesh,Vijayawada,Reservoir,6.41,5.85,3.5,10.76,599,392,4.33,6.19,0.26,27.0,252,64,110,32,Unsafe
Maharashtra,Nagpur,Groundwater,7.03,9.33,7.07,29.64,121,536,7.62,24.83,0.57,32.5,66,172,49,51,Poor
Kerala,Kochi,Reservoir,7.82,4.91,6.73,21.41,460,192,3.01,15.94,0.33,26.2,283,53,62,26,Unsafe
Andhra Pradesh,Guntur,Lake,8.41,5.67,5.72,37.83,585,791,6.61,13.88,0.82,25.9,157,165,33,16,Unsafe
Andhra Pradesh,Visakhapatnam,River,6.46,7.07,4.88,19.48,288,229,0.81,26.83,0.68,25.4,278,52,49,45,Poor
Kerala,Thiruvananthapuram,Reservoir,6.9,8.9,2.88,10.62,319,376,7.43,10.34,1.85,26.5,249,66,66,56,Poor
Uttar Pradesh,Lucknow,Lake,6.97,9.04,1.74,13.64,179,209,6.89,5.04,2.19,29.9,233,78,149,68,Moderate
Gujarat,Vadodara,River,8.59,4.79,7.79,22.72,354,725,7.27,32.4,0.66,20.5,114,23,54,4,Unsafe
Delhi,New Delhi,Reservoir,8.25,6.43,2.54,42.73,180,800,5.26,12.04,1.79,29.8,251,171,87,47,Poor
Gujarat,Ahmedabad,Reservoir,6.96,5.89,1.58,19.98,326,437,5.64,7.98,0.68,24.2,333,109,155,48,Poor
Gujarat,Ahmedabad,River,7.21,7.82,5.48,11.58,632,408,3.29,5.45,0.92,26.7,197,103,99,45,Poor
Tamil Nadu,Coimbatore,River,8.43,7.38,6.55,29.63,376,358,7.84,17.26,0.3,28.3,210,107,45,27,Unsafe
Kerala,Thiruvananthapuram,Lake,7.3,9.37,5.71,43.61,362,668,5.39,34.54,0.59,33.6,342,106,193,44,Poor
Gujarat,Vadodara,Groundwater,6.75,6.96,6.45,17.59,524,450,8.53,39.77,0.47,30.2,290,21,33,12,Unsafe
Tamil Nadu,Madurai,Lake,6.38,7.2,5.37,10.36,191,585,7.55,30.13,1.44,27.7,138,66,46,33,Unsafe
West Bengal,Siliguri,River,8.44,6.3,2.13,35.23,570,458,5.57,22.18,0.48,22.6,70,28,36,24,Unsafe
Uttar Pradesh,Varanasi,Reservoir,6.48,7.46,5.31,19.74,512,550,4.27,39.94,2.23,33.3,257,144,195,24,Unsafe
Telangana,Nizamabad,Reservoir,7.98,5.42,3.83,21.14,529,231,8.28,36.61,1.36,34.2,280,45,30,9,Unsafe
Kerala,Kochi,Lake,7.85,7.9,5.65,11.1,199,511,1.32,25.32,0.11,25.7,265,136,198,52,Poor
Andhra Pradesh,Vijayawada,Groundwater,6.54,7.46,7.12,31.3,625,622,4.86,13.75,1.37,24.2,244,31,197,28,Unsafe
Telangana,Hyderabad,Lake,7.5,4.92,3.17,20.38,648,750,9.17,27.67,1.91,20.1,318,138,95,10,Unsafe
West Bengal,Siliguri,Lake,6.62,7.24,5.79,16.5,663,259,4.7,20.78,1.16,33.8,302,115,85,26,Unsafe
Delhi,New Delhi,Lake,6.68,5.09,2.73,11.15,475,509,2.39,28.45,0.1,28.4,318,164,26,30,Unsafe
Delhi,New Delhi,River,7.49,8.1,6.77,20.59,354,327,8.97,19.2,2.45,28.9,114,95,146,35,Unsafe
Maharashtra,Pune,Reservoir,6.55,7.88,6.65,17.27,211,590,9.34,35.21,0.82,22.6,99,49,155,28,Unsafe
Maharashtra,Nagpur,Reservoir,8.51,5.98,1.93,23.07,526,873,8.09,8.64,1.55,23.4,117,126,109,26,Unsafe
Maharashtra,Mumbai,Groundwater,6.75,7.57,1.32,32.56,497,513,7.82,30.03,0.58,18.6,346,51,135,33,Unsafe
Tamil Nadu,Coimbatore,Groundwater,7.58,5.62,1.69,31.26,661,792,9.23,30.32,1.45,21.8,241,103,205,14,Unsafe
Maharashtra,Mumbai,Groundwater,7.21,8.85,6.47,18.01,661,420,5.12,31.64,1.87,21.2,330,116,89,31,Unsafe
Karnataka,Mangaluru,Reservoir,6.9,4.88,6.22,25.42,302,386,1.53,26.38,0.41,33.4,206,58,153,33,Unsafe
West Bengal,Siliguri,River,6.46,6.39,6.8,16.74,200,745,7.47,17.0,0.59,22.6,343,40,79,33,Unsafe
Telangana,Nizamabad,Reservoir,6.61,9.42,7.54,21.74,87,762,1.95,39.49,0.36,24.5,340,30,54,52,Poor
Delhi,New Delhi,Reservoir,6.48,6.3,4.5,31.44,353,575,1.13,18.68,2.24,33.4,159,89,207,43,Poor
Karnataka,Mangaluru,River,7.05,7.12,1.98,26.58,148,720,3.03,3.21,1.19,18.2,75,178,214,69,Moderate
Andhra Pradesh,Visakhapatnam,River,6.53,5.63,4.64,16.55,265,859,9.04,11.65,1.18,26.0,107,156,147,31,Unsafe
West Bengal,Siliguri,Lake,8.32,8.9,3.42,27.52,341,575,1.07,26.1,1.37,19.3,74,121,199,52,Poor
Karnataka,Mangaluru,River,6.39,6.7,4.02,15.5,500,364,6.13,28.47,0.76,28.9,102,112,120,24,Unsafe
Gujarat,Vadodara,River,7.28,7.11,6.44,37.5,202,564,8.05,5.87,2.34,28.3,228,80,58,47,Poor
Tamil Nadu,Coimbatore,Reservoir,6.37,8.61,7.96,24.29,498,208,5.68,1.75,0.14,19.6,93,76,137,40,Poor
Telangana,Warangal,River,8.15,6.44,4.97,24.65,158,259,5.26,11.4,0.72,21.8,174,132,21,44,Poor
Kerala,Kozhikode,Reservoir,6.64,7.02,1.1,36.19,514,353,1.38,37.33,1.5,24.0,223,68,67,38,Unsafe
Gujarat,Ahmedabad,River,8.6,9.45,3.53,25.41,530,758,8.24,32.16,0.36,23.3,175,151,29,27,Unsafe
West Bengal,Kolkata,River,6.94,6.46,4.45,23.28,531,474,3.57,7.89,1.23,29.9,137,144,164,41,Poor
Tamil Nadu,Coimbatore,River,8.24,6.48,3.15,20.44,545,748,4.36,37.47,1.86,23.5,188,61,51,21,Unsafe
Karnataka,Mangaluru,Lake,7.78,7.77,6.26,15.33,469,665,6.1,16.87,1.48,30.0,348,60,50,34,Unsafe
Telangana,Hyderabad,Reservoir,8.19,8.68,4.31,17.62,270,835,4.13,8.01,1.04,25.8,67,125,153,56,Poor
Delhi,New Delhi,Reservoir,8.32,9.11,5.78,36.13,367,511,8.34,14.35,0.43,20.6,299,162,124,38,Unsafe
Kerala,Thiruvananthapuram,Groundwater,7.33,8.07,7.02,35.42,279,796,1.68,36.45,2.33,26.5,118,63,209,45,Poor
Karnataka,Mangaluru,Lake,8.32,8.33,2.8,41.69,384,224,6.35,35.07,0.99,18.3,166,111,122,33,Unsafe
West Bengal,Kolkata,Reservoir,6.38,8.18,3.05,14.08,156,275,2.38,23.35,1.13,30.9,174,135,215,58,Poor
Gujarat,Surat,Lake,7.81,7.87,6.39,19.95,259,645,5.1,14.69,0.66,33.7,183,71,164,46,Poor
West Bengal,Siliguri,Groundwater,6.73,9.34,7.11,28.49,617,614,9.01,10.75,0.43,19.8,174,41,109,33,Unsafe
Karnataka,Bengaluru,Reservoir,6.92,6.81,6.19,39.79,268,691,9.11,36.0,1.78,22.8,238,43,174,24,Unsafe
Maharashtra,Pune,Lake,8.27,8.51,1.49,27.66,433,786,3.49,5.57,0.48,32.9,260,76,202,56,Poor
